pris,sma_5,sma_20,fib38,fib50,fib62,boll_sma,boll_std,upper_band,lower_band
24687.44,,,,,,,,,
24689.06,,,,,,,,,
24688.35,,,,,,,,,
24690.5,,,,,,,,,
24688.74,24688.818,,,,,,,,
24690.18,24689.366,,,,,,,,
24690.79,24689.712,,,,,,,,
24690.18,24690.078,,,,,,,,
24693.97,24690.772000000004,,,,,,,,
24693.15,24691.654000000002,,,,,,,,
24692.98,24692.214,,,,,,,,
24694.68,24692.992000000002,,,,,,,,
24693.68,24693.692,,,,,,,,
24693.88,24693.674,,,,,,,,
24695.13,24694.07,,,,,,,,
24695.29,24694.532,,,,,,,,
24695.66,24694.728,,,,,,,,
24699.0,24695.791999999998,,,,,,,,
24699.34,24696.884000000002,,,,,,,,
24699.62,24697.782,24693.081,,,,24693.081,3.663580216125174,24700.40816043225,24685.753839567747
24702.25,24699.174,24693.8215,24696.59258,24694.845,24693.09742,24693.8215,3.949000239898258,24701.719500479794,24685.923499520202
24702.28,24700.498,24694.482500000002,24696.95874,24695.315,24693.67126,24694.482500000002,4.2079709762329545,24702.898441952468,24686.066558047536
24703.79,24701.456,24695.254500000003,24697.89192,24696.07,24694.24808,24695.254500000003,4.433934304996542,24704.122368609995,24686.38663139001
24702.27,24702.042,24695.843,24698.0409,24696.265,24694.489100000003,24695.843,4.549268420072105,24704.941536840146,24686.744463159856
24702.95,24702.708,24696.5535,24698.0409,24696.265,24694.489100000003,24696.5535,4.490819026223241,24705.535138052448,24687.571861947556
24705.7,24703.397999999997,24697.3295,24699.77136,24697.940000000002,24696.108640000002,24697.3295,4.6689066397289585,24706.667313279457,24687.991686720543
24706.46,24704.234,24698.113,24700.24104,24698.32,24696.39896,24698.113,4.825909349813228,24707.764818699627,24688.461181300376
24709.56,24705.388,24699.082000000002,24702.15684,24699.870000000003,24697.583160000002,24699.082000000002,5.087759924821695,24709.257519849645,24688.90648015036
24709.25,24706.784,24699.845999999998,24703.226440000002,24701.27,24699.31356,24699.845999999998,5.416361567655261,24710.67872313531,24689.013276864687
24708.36,24707.866,24700.6065,24703.226440000002,24701.27,24699.31356,24700.6065,5.4939538777210615,24711.594407755445,24689.61859224456
24709.88,24708.702,24701.4515,24703.4242,24701.43,24699.4358,24701.4515,5.558496838648894,24712.568493677296,24690.334506322703
24710.27,24709.464,24702.231,24703.93262,24701.975,24700.01738,24702.231,5.651274565134876,24713.53354913027,24690.92845086973
24710.24,24709.6,24703.059,24703.93262,24701.975,24700.01738,24703.059,5.544622715086517,24714.148245430173,24691.96975456983
24710.45,24709.840000000004,24703.8875,24704.12026,24702.165,24700.209740000002,24703.8875,5.3348830944649706,24714.55726618893,24693.21773381107
24710.41,24710.25,24704.6515,24704.59776,24702.79,24700.98224,24704.6515,5.103836817845198,24714.85917363569,24694.44382636431
24710.09,24710.292,24705.3915,24704.65888,24702.870000000003,24701.081120000003,24705.3915,4.7346508513565055,24714.860801702715,24695.92219829729
24710.1,24710.257999999998,24706.1135,24704.80022,24703.055,24701.30978,24706.1135,4.248613736768064,24714.610727473537,24697.616272526462
24711.93,24710.595999999998,24706.76,24706.99074,24705.465,24703.93926,24706.76,4.090001930259136,24714.940003860516,24698.57999613948
24711.45,24710.796,24707.3655,24707.12062,24705.635000000002,24704.14938,24707.3655,3.8212790294754058,24715.00805805895,24699.72294194105
24712.92,24711.298000000003,24708.0305,24707.839399999997,24706.269999999997,24704.7006,24708.0305,3.5500666784039017,24715.13063335681,24700.93036664319
24713.68,24712.015999999996,24708.602000000003,24709.31374,24707.965,24706.61626,24708.602000000003,3.4900378523156474,24715.582075704635,24701.62192429537
24713.37,24712.670000000002,24709.1565,24709.32138,24707.975,24706.62862,24709.1565,3.309027961911168,24715.774555923825,24702.538444076177
24713.85,24713.053999999996,24709.6595,24709.42644,24708.059999999998,24706.69356,24709.6595,3.2135657765306673,24716.086631553062,24703.23236844694
24716.0,24713.964,24710.345999999998,24710.75514,24709.135000000002,24707.51486,24710.345999999998,3.0121218260288107,24716.370243652054,24704.32175634794
24717.29,24714.838,24711.063,24711.812120000002,24710.120000000003,24708.42788,24711.063,2.861920775709159,24716.786841551417,24705.33915844858
24716.92,24715.486,24711.624000000003,24712.86262,24711.495000000003,24710.12738,24711.624000000003,2.8550000461109364,24717.334000092225,24705.91399990778
24717.4,24716.291999999998,24712.171,24713.22092,24711.93,24710.63908,24712.171,2.861547060437521,24717.894094120875,24706.447905879122
24716.74,24716.870000000003,24712.53,24713.94672,24712.88,24711.813280000002,24712.53,2.9652496123125736,24718.460499224624,24706.599500775374
24716.81,24717.032,24712.908000000003,24713.94672,24712.88,24711.813280000002,24712.908000000003,3.0066918348321168,24718.92138366967,24706.894616330337
24715.91,24716.756,24713.2855,24713.94672,24712.88,24711.813280000002,24713.2855,2.876779037701941,24719.039058075407,24707.531941924597
24716.71,24716.714,24713.627,24714.52736,24713.64,24712.752640000002,24713.627,2.8565586583532405,24719.340117316708,24707.913882683293
24716.69,24716.572,24713.948,24714.60758,24713.745000000003,24712.88242,24713.948,2.8199507274888136,24719.58790145498,24708.30809854502
